miRNA,Selection_Frequency,Is_Stable,Is_Reference,Mean_Weight
hsa-mir-135b,1.0,True,False,1.567152180800546
hsa-mir-486-1,1.0,True,False,-0.7351339183540209
hsa-mir-210,1.0,True,False,0.51934522207378
hsa-mir-196a-2,0.996,True,False,0.6196632618094753
hsa-mir-143,0.982,True,False,-0.23937120364982842
hsa-mir-378a,0.888,True,False,-0.4439727270683632
hsa-mir-708,0.834,True,False,0.4028498134288023
hsa-mir-1269a,0.798,True,False,0.20486630578724788
hsa-mir-193b,0.792,True,False,0.9143147313320528
hsa-mir-675,0.764,True,False,0.4016629945231293
hsa-mir-182,0.76,True,False,0.48708109104425973
hsa-mir-200c,0.752,True,False,-0.6649929646434471
hsa-mir-224,0.71,True,False,0.18761597927725013
hsa-mir-483,0.702,True,False,-0.30124613813644635
hsa-mir-514a-1,0.648,True,False,-0.4066061807983508
hsa-mir-217,0.642,True,False,0.07670490258520507
hsa-mir-184,0.63,True,False,-0.031685071995925865
hsa-mir-100,0.618,True,False,-0.1242659796288279
hsa-mir-345,0.608,True,False,0.1825112169402402
hsa-mir-205,0.554,False,False,0.0
hsa-let-7a-3,0.508,False,False,0.0
hsa-let-7a-2,0.478,False,False,0.0
hsa-mir-203a,0.446,False,False,0.0
hsa-let-7a-1,0.384,False,False,0.0
hsa-mir-9-1,0.35,False,False,0.0
hsa-mir-891a,0.336,False,False,0.0
hsa-mir-4772,0.266,False,False,0.0
hsa-mir-508,0.254,False,False,0.0
hsa-mir-514a-2,0.236,False,False,0.0
hsa-mir-509-3,0.228,False,False,0.0
hsa-mir-486-2,0.208,False,False,0.0
hsa-mir-514a-3,0.186,False,False,0.0
hsa-mir-10b,0.158,False,False,0.0
hsa-mir-651,0.144,False,False,0.0
hsa-mir-450b,0.144,False,False,0.0
hsa-mir-5698,0.136,False,False,0.0
hsa-let-7d,0.132,False,False,0.0
hsa-mir-19a,0.132,False,False,0.0
hsa-mir-34c,0.122,False,False,0.0
hsa-mir-493,0.11,False,False,0.0
hsa-mir-552,0.108,False,False,0.0
hsa-mir-139,0.084,False,False,0.0
hsa-mir-503,0.078,False,False,0.0
hsa-mir-21,0.078,False,False,0.0
hsa-mir-30a,0.066,False,False,0.0
hsa-mir-31,0.062,False,False,0.0
hsa-mir-153-2,0.06,False,False,0.0
hsa-mir-934,0.054,False,False,0.0
hsa-mir-96,0.052,False,False,0.0
hsa-mir-424,0.048,False,False,0.0
hsa-mir-3065,0.04,False,False,0.0
hsa-mir-1247,0.036,False,False,0.0
hsa-mir-9-2,0.028,False,False,0.0
hsa-mir-144,0.022,False,False,0.0
hsa-mir-3607,0.022,False,False,0.0
hsa-mir-598,0.02,False,False,0.0
